accuracy,balanced_accuracy,precision_serious,recall_serious,f1_serious,roc_auc,pr_auc,confusion,model,feature_set,threshold
0.9696585173279192,0.5,0.0,0.0,0.0,0.5,0.03034148267208076,"[[34387, 0], [1076, 0]]",MajorityBaseline,n/a,
0.5480077827594958,0.5801226618773867,0.04061443932411674,0.6143122676579925,0.07619157397268168,0.6103444740020733,0.043918958295336846,"[[18773, 15614], [415, 661]]",LogisticRegression,time_only,0.5
0.9683895891492541,0.5006961138702996,0.058823529411764705,0.0027881040892193307,0.005323868677905945,0.567405992668406,0.0372001074907132,"[[34339, 48], [1073, 3]]",RandomForest,time_only,0.5
0.7900346840368835,0.5568254753487609,0.04719931760022747,0.30855018587360594,0.08187422934648582,0.5976515747986806,0.04332921258283606,"[[27685, 6702], [744, 332]]",XGBoost,time_only,0.5
0.5462030849053944,0.5737903540101121,0.03977934416181428,0.6031598513011153,0.07463630613535736,0.609751886006026,0.043827863828709464,"[[18721, 15666], [427, 649]]",LogisticRegression,time_weather,0.5
0.9692073428643939,0.49976735394189664,0.0,0.0,0.0,0.5887567684381461,0.04278813470725433,"[[34371, 16], [1076, 0]]",RandomForest,time_weather,0.5
0.839438287792911,0.554841456900534,0.05251937984496124,0.25185873605947956,0.08691468890314304,0.5881439239109013,0.04444796254985291,"[[29498, 4889], [805, 271]]",XGBoost,time_weather,0.5
0.5521529481431351,0.5858612466261186,0.04143954410307235,0.6217472118959108,0.07770034843205575,0.6150151246964493,0.04432263296971516,"[[18912, 15475], [407, 669]]",LogisticRegression,time_weather_spatial,0.5
0.9691227476524829,0.5006240200784792,0.08695652173913043,0.0018587360594795538,0.003639672429481347,0.5951107517397374,0.04332794317339103,"[[34366, 21], [1074, 2]]",RandomForest,time_weather_spatial,0.5
0.8298226320390266,0.5543846241495906,0.05089657670711827,0.2611524163568773,0.08519023798696378,0.592445754387816,0.04369378636277868,"[[29147, 5240], [795, 281]]",XGBoost,time_weather_spatial,0.5
0.5498688774215379,0.5851336195932089,0.041289209342453934,0.6226765799256505,0.0774432179390857,0.6153926610330718,0.04459003916116082,"[[18830, 15557], [406, 670]]",LogisticRegression,full_with_cluster,0.5
0.9690945492485126,0.5010596233360861,0.11538461538461539,0.0027881040892193307,0.0054446460980036296,0.5934522972338795,0.0442866531283678,"[[34364, 23], [1073, 3]]",RandomForest,full_with_cluster,0.5
0.8374362011110171,0.543905930020455,0.04800462695199537,0.23141263940520446,0.07951460961200703,0.5884390017062512,0.04216649722762134,"[[29449, 4938], [827, 249]]",XGBoost,full_with_cluster,0.5
0.9694047316921862,0.5003192802285553,0.09090909090909091,0.0009293680297397769,0.0018399264029438822,0.5827951050923432,0.04043485174668906,"[[34377, 10], [1075, 1]]",XGBoost+SMOTE,full_with_cluster,0.5
0.9500042297605955,0.5096716760883635,0.05605095541401274,0.040892193308550186,0.047286405158516925,0.5884390017062512,0.04216649722762134,"[[33646, 741], [1032, 44]]",XGBoost+ThresholdTuned,full_with_cluster,0.6917101144790649
